,backprop,bfs,cfd,heartwall,hotspot,hotspot3d,kmeans,lavaMD,lud,myocyte,nn,nw,particle,pathfinder,srad,streamcluster
Measurements,0.095794,0.065337,6.23486,4.04081,0.014,0.236,0.469971,104.91187286377,0.213651,0.121426999569,0.00132842001,0.166,0.035782,5.454814,0.014048,6.562722
,0.047073,0.077181,7.01282,3.043158,0.012,0.213,0.45163,101.944702148438,0.153367,0.22676999867,0.001279264921,0.215,0.041386,5.983069,0.013941,5.488868
,0.053736,0.081251,5.76112,3.051733,0.012,0.239,0.456852,101.538619995117,0.138458,0.123414002359,0.001290721935,0.24,0.031582,10.389657,0.013436,5.63871
,0.038343,0.07466,7.12235,3.039508,0.013,0.21,0.538135,101.505393981934,0.125547,0.133783996105,0.001258842181,0.212,0.043112,5.987967,0.013252,7.256001
,0.057736,0.083994,6.47961,3.052572,0.013,0.234,0.45057,102.08341217041,0.170537,0.12103600055,0.001276407042,0.201,0.030338,7.530076,0.013721,5.909727
,0.067933,0.07224,9.14944,3.007105,0.016,0.241,0.444944,102.90567779541,0.118705,0.098080001771,0.001300117001,0.246,0.049555,6.169238,0.013432,5.530227
,0.047321,0.06964,6.39605,3.0537,0.014,0.237,0.4753,101.46533203125,0.153226,0.127006992698,0.001275054063,0.254,0.046004,19.138306,0.014093,5.666447
,0.064639,0.070183,6.02996,3.31609,0.012,0.232,0.46906,101.605178833008,0.153987,0.146900996566,0.001260794932,0.251,0.047739,8.480878,0.013981,5.57682
,0.085652,0.066794,8.17205,3.088726,0.013,0.211,0.44215,103.071258544922,0.158806,0.146847993135,0.001276345225,0.233,0.031223,5.800482,0.014133,5.541523
,0.074818,0.065673,6.49371,3.172351,0.012,0.236,0.449233,101.949089050293,0.153818,0.151950001717,0.001278942102,0.218,0.034248,6.208737,0.013744,5.605235
,0.088033,0.031915,6.96274,3.195391,0.012,0.237,0.49742,101.74730682373,0.104333,0.121924996376,0.001274834038,0.14,0.068594,5.754027,0.01439,6.481589
,0.053346,0.051859,7.16717,3.052598,0.015,0.241,0.428125,102.061859130859,0.132122,0.119750000536,0.001291846042,0.197,0.036708,5.221633,0.015636,6.218565
,0.058091,0.055655,7.25562,2.960846,0.014,0.231,0.453037,101.879676818848,0.200412,0.157484993339,0.001264531049,0.176,0.038666,60.137846,0.013472,5.677522
,0.064248,0.070302,5.86269,3.053924,0.013,0.198,0.451041,103.054595947266,0.12447,0.139731004834,0.001270634937,0.214,0.025463,5.661953,0.013574,5.986368
,0.102236,0.077075,10.0529,2.982749,0.013,0.242,0.445822,101.467361450195,0.143599,0.114045999944,0.001274256036,0.256,0.041552,8.934388,0.013204,5.770026
,0.039429,0.068925,6.2944,3.037149,0.012,0.255,0.457961,101.662033081055,0.180347,0.134773001075,0.001297540963,0.276,0.047581,30.383275,0.014076,5.838498
