,Base,,,,,,Hand Optimized,,,,,,generated,,,,,,
,Batch,Jacobi,Monte,Multi,Neural,,Batch,Jacobi,Monte,Multi,Neural,,Batch,Jacobi,Monte,Multi,Neural,,
,1.073205,1.042774,12.797777,0.069546,0.302282,,0.82842,0.565499,6.062257,0.072884,0.236535,,0.910675,1.559284,21.970637,0.041024,0.200936,,
,1.028543,1.042853,13.288315,0.065685,0.301548,,0.810165,0.543504,6.345346,0.072628,0.234726,,1.00243,1.559882,21.895577,0.04116,0.148926,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
GEO MEAN,1.03996581433551,1.05717905273168,12.4319411547974,0.0685988596536985,0.311036066809874,,0.79713609380662,0.566040487947604,5.95396817204666,0.0720114241567318,0.236490565906232,,0.913482427890307,1.59020938948026,21.9191011544574,0.0428266360197668,0.161612334324764,,
AVG,1.040662675,1.057726525,12.43551125,0.0686234,0.312417875,,0.797491775,0.578417075,5.95472785,0.07201655,0.236494075,,9.14E-01,1.5970431,21.9192434,0.044163325,0.1646395,,
MIN,0.926114,1.009288,11.907326,0.063742,0.301043,,0.684839,0.497757,5.731252,0.069885,0.233805,,9.08E-01,1.526112,21.853311,0.040669,0.130942,,
MAX,1.131802,1.214827,13.288315,0.07124,0.454908,,0.82842,1.32203,6.345346,0.07349,0.239585,,1.00E+00,2.443201,22.196661,0.138936,0.352103,,
MEDIAN,1.044348,1.050332,12.391536,0.0691495,0.302618,,0.8003915,0.542575,5.9549045,0.072059,0.236218,,0.9109235,1.5518075,21.8827615,0.040977,0.1510135,,
STDDEV,0.0378580657564458,0.0348867242457554,0.299459109469119,0.0018177084034575,0.0329960456904971,,0.0231511083336063,0.151777336671913,0.0956783289466716,0.000858048278070645,0.00128958827513862,,0.0143273475052956,0.165857933897628,0.0791223280101134,0.0158452710696086,0.0369836759429076,,
